mode,symbol,name,date,source,data_granularity,price_092430,price_0915_ref,price_0919_high,price_0920_ref,change_pct,volume_ratio,score,passed,fail_reasons,note
,sz002597,金禾实业,20260427,pytdx_snapshot,snapshot_polling_approx_092430,23.175,23.18,23.18,23.175,-0.0216,0.5695,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz001280,中国铀业,20260427,pytdx_snapshot,snapshot_polling_approx_092430,83.905,83.08,83.91,83.905,0.993,0.0409,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603773,沃格光电,20260427,pytdx_snapshot,snapshot_polling_approx_092430,64.13,58.3,64.13,64.13,10.0,43.6501,0.0,False,change_pct_out_of_range,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002985,北摩高科,20260427,pytdx_snapshot,snapshot_polling_approx_092430,37.325,39.33,37.33,37.325,-5.0979,0.3585,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603882,金域医学,20260427,pytdx_snapshot,snapshot_polling_approx_092430,28.005,28.28,28.01,28.005,-0.9724,0.1344,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002287,奇正藏药,20260427,pytdx_snapshot,snapshot_polling_approx_092430,22.555,22.66,22.56,22.555,-0.4634,0.3928,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh600389,江山股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,29.565,29.99,29.57,29.565,-1.4171,0.6102,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh600391,航发科技,20260427,pytdx_snapshot,snapshot_polling_approx_092430,36.345,38.95,36.35,36.345,-6.6881,0.077,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002568,百润股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,16.885,16.84,16.89,16.885,0.2672,0.7482,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603281,江瀚新材,20260427,pytdx_snapshot,snapshot_polling_approx_092430,34.765,34.41,34.77,34.765,1.0317,0.311,0.0,False,volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
